date_local,summer_year,daily_peak_mw,is_top5,hour_of_peak
2022-08-24,2022,130711,FALSE,18
2022-08-25,2022,129565,FALSE,17
2022-08-26,2022,129914,FALSE,17
2022-08-27,2022,122269,FALSE,18
2022-08-28,2022,129561,FALSE,18
2022-08-29,2022,138157,FALSE,18
2022-08-30,2022,130967,FALSE,16
2022-08-31,2022,122888,FALSE,18
2022-09-01,2022,127753,FALSE,18
2022-09-02,2022,122915,FALSE,18
2022-09-03,2022,114373,FALSE,17
2022-09-04,2022,110670,FALSE,17
2022-09-05,2022,108315,FALSE,18
2022-09-06,2022,112923,FALSE,18
2022-09-07,2022,107367,FALSE,18
2022-09-08,2022,111669,FALSE,18
2022-09-09,2022,115601,FALSE,18
2022-09-10,2022,104219,FALSE,17
2022-09-11,2022,97867,FALSE,18
2022-09-12,2022,110625,FALSE,17
2022-09-13,2022,106393,FALSE,18
2022-09-14,2022,106596,FALSE,18
2022-09-15,2022,106344,FALSE,18
2022-09-16,2022,105796,FALSE,18
2022-09-17,2022,102606,FALSE,18
2022-09-18,2022,110775,FALSE,18
2022-09-19,2022,116558,FALSE,18
2022-09-20,2022,118157,FALSE,18
2022-09-21,2022,122567,FALSE,18
2022-09-22,2022,97474,FALSE,12
2022-09-23,2022,81498,FALSE,20
2022-09-24,2022,78687,FALSE,20
2022-09-25,2022,83318,FALSE,20
2022-09-26,2022,88711,FALSE,18
2022-09-27,2022,86416,FALSE,20
2022-09-28,2022,85941,FALSE,20
2022-09-29,2022,84904,FALSE,20
2022-09-30,2022,82807,FALSE,11
2023-06-01,2023,116053,FALSE,18
2023-06-02,2023,124205,FALSE,18
2023-06-03,2023,106738,FALSE,17
2023-06-04,2023,93355,FALSE,19
2023-06-05,2023,100186,FALSE,18
2023-06-06,2023,99912,FALSE,18
2023-06-07,2023,95535,FALSE,18
2023-06-08,2023,92028,FALSE,18
2023-06-09,2023,93228,FALSE,18
2023-06-10,2023,98219,FALSE,19
2023-06-11,2023,96497,FALSE,18
2023-06-12,2023,97290,FALSE,17
2023-06-13,2023,95834,FALSE,18
2023-06-14,2023,95740,FALSE,19
2023-06-15,2023,102762,FALSE,18
2023-06-16,2023,92995,FALSE,18
2023-06-17,2023,92785,FALSE,18
2023-06-18,2023,100804,FALSE,18
2023-06-19,2023,113602,FALSE,18
2023-06-20,2023,108371,FALSE,18
2023-06-21,2023,104260,FALSE,18
2023-06-22,2023,96744,FALSE,18
2023-06-23,2023,101674,FALSE,18
2023-06-24,2023,109695,FALSE,19
2023-06-25,2023,112980,FALSE,18
2023-06-26,2023,116740,FALSE,18
2023-06-27,2023,106321,FALSE,18
2023-06-28,2023,112247,FALSE,18
