rep,ev_low,ev_mid,ev_high
374,54885.53714285714,73267.84964285714,74592.61714285715
375,54028.394285714276,72410.70678571428,73735.4742857143
376,51171.25142857142,69553.56392857143,70878.33142857144
377,56314.108571428565,74696.42107142856,76021.18857142857
378,53171.25142857142,71553.56392857143,72878.33142857144
379,60599.82285714285,78982.13535714285,80306.90285714286
380,53171.25142857142,71553.56392857143,72878.33142857144
381,56885.53714285714,75267.84964285714,76592.61714285715
382,51456.96571428571,69839.2782142857,71164.04571428572
383,60028.394285714276,78410.70678571428,79735.4742857143
384,54885.53714285714,73267.84964285714,74592.61714285715
385,53742.67999999999,72124.9925,73449.76000000001
386,48028.394285714276,66410.70678571428,67735.4742857143
387,56314.108571428565,74696.42107142856,76021.18857142857
388,59171.25142857142,77553.56392857143,78878.33142857144
389,50028.394285714276,68410.70678571428,69735.4742857143
390,60028.394285714276,78410.70678571428,79735.4742857143
391,52028.394285714276,70410.70678571428,71735.4742857143
392,58599.82285714285,76982.13535714285,78306.90285714286
393,54599.82285714285,72982.13535714285,74306.90285714286
394,56314.108571428565,74696.42107142856,76021.18857142857
395,54599.82285714285,72982.13535714285,74306.90285714286
396,61456.96571428571,79839.2782142857,81164.04571428572
397,50885.53714285714,69267.84964285714,70592.61714285715
398,52028.394285714276,70410.70678571428,71735.4742857143
399,50599.82285714285,68982.13535714285,70306.90285714286
400,59171.25142857142,77553.56392857143,78878.33142857144
401,59742.67999999999,78124.9925,79449.76000000001
402,54314.108571428565,72696.42107142856,74021.18857142857
403,56314.108571428565,74696.42107142856,76021.18857142857
404,56314.108571428565,74696.42107142856,76021.18857142857
405,54028.394285714276,72410.70678571428,73735.4742857143
406,54885.53714285714,73267.84964285714,74592.61714285715
407,57456.96571428571,75839.2782142857,77164.04571428572
408,58028.394285714276,76410.70678571428,77735.4742857143
409,56599.82285714285,74982.13535714285,76306.90285714286
410,52314.108571428565,70696.42107142856,72021.18857142857
411,51456.96571428571,69839.2782142857,71164.04571428572
412,64599.82285714285,82982.13535714285,84306.90285714286
413,58599.82285714285,76982.13535714285,78306.90285714286
414,57742.67999999999,76124.9925,77449.76000000001
415,52028.394285714276,70410.70678571428,71735.4742857143
416,58028.394285714276,76410.70678571428,77735.4742857143
417,58028.394285714276,76410.70678571428,77735.4742857143
418,51742.67999999999,70124.9925,71449.76000000001
419,56314.108571428565,74696.42107142856,76021.18857142857
420,50028.394285714276,68410.70678571428,69735.4742857143
421,52599.82285714285,70982.13535714285,72306.90285714286
422,52885.53714285714,71267.84964285714,72592.61714285715
423,55456.96571428571,73839.2782142857,75164.04571428572
424,54599.82285714285,72982.13535714285,74306.90285714286
425,54599.82285714285,72982.13535714285,74306.90285714286
426,58885.53714285714,77267.84964285714,78592.61714285715
427,51742.67999999999,70124.9925,71449.76000000001
428,54314.108571428565,72696.42107142856,74021.18857142857
429,56599.82285714285,74982.13535714285,76306.90285714286
430,53456.96571428571,71839.2782142857,73164.04571428572
431,49171.25142857142,67553.56392857143,68878.33142857144
432,60028.394285714276,78410.70678571428,79735.4742857143
433,60885.53714285714,79267.84964285714,80592.61714285715
434,52885.53714285714,71267.84964285714,72592.61714285715
435,55456.96571428571,73839.2782142857,75164.04571428572
436,53742.67999999999,72124.9925,73449.76000000001
437,56028.394285714276,74410.70678571428,75735.4742857143
438,54599.82285714285,72982.13535714285,74306.90285714286
439,56314.108571428565,74696.42107142856,76021.18857142857
440,51456.96571428571,69839.2782142857,71164.04571428572
441,55742.67999999999,74124.9925,75449.76000000001
442,53171.25142857142,71553.56392857143,72878.33142857144
443,54885.53714285714,73267.84964285714,74592.61714285715
444,59171.25142857142,77553.56392857143,78878.33142857144
445,54028.394285714276,72410.70678571428,73735.4742857143
446,56885.53714285714,75267.84964285714,76592.61714285715
447,56314.108571428565,74696.42107142856,76021.18857142857
448,53742.67999999999,72124.9925,73449.76000000001
449,53456.96571428571,71839.2782142857,73164.04571428572
450,56028.394285714276,74410.70678571428,75735.4742857143
451,56028.394285714276,74410.70678571428,75735.4742857143
452,56314.108571428565,74696.42107142856,76021.18857142857
453,55456.96571428571,73839.2782142857,75164.04571428572
454,57742.67999999999,76124.9925,77449.76000000001
455,58314.108571428565,76696.42107142856,78021.18857142857
456,58599.82285714285,76982.13535714285,78306.90285714286
457,54314.108571428565,72696.42107142856,74021.18857142857
458,52028.394285714276,70410.70678571428,71735.4742857143
459,58314.108571428565,76696.42107142856,78021.18857142857
460,52314.108571428565,70696.42107142856,72021.18857142857
461,50028.394285714276,68410.70678571428,69735.4742857143
462,50314.108571428565,68696.42107142856,70021.18857142857
463,54599.82285714285,72982.13535714285,74306.90285714286
464,58599.82285714285,76982.13535714285,78306.90285714286
465,54028.394285714276,72410.70678571428,73735.4742857143
466,54599.82285714285,72982.13535714285,74306.90285714286
467,55171.25142857142,73553.56392857143,74878.33142857144
468,46885.53714285714,65267.84964285714,66592.61714285715
469,60885.53714285714,79267.84964285714,80592.61714285715
470,55456.96571428571,73839.2782142857,75164.04571428572
471,55456.96571428571,73839.2782142857,75164.04571428572
472,55171.25142857142,73553.56392857143,74878.33142857144
473,56885.53714285714,75267.84964285714,76592.61714285715
474,51171.25142857142,69553.56392857143,70878.33142857144
