month_local,hr_local,daytype,mape,bias_mw,n
10,0,weekday,1.8117327393565221,-1123.6688311688317,154
10,0,weekend,1.9154746778914207,-1137.951612903226,62
10,1,weekday,2.5872265886321655,-1748.0519480519486,154
10,1,weekend,2.575572013515589,-1657.8709677419354,62
10,2,weekday,2.920595797547435,-2022.5870967741932,155
10,2,weekend,3.08359019528162,-1975.1612903225807,62
10,3,weekday,3.0244785594777386,-2053.045161290322,155
10,3,weekend,3.3252324791589722,-2146.951612903226,62
10,4,weekday,2.9921513689562578,-1991.7677419354836,155
10,4,weekend,3.4776573055808138,-2230.967741935484,62
10,5,weekday,2.636654033714685,-1693.3999999999994,155
10,5,weekend,3.3033619628561435,-2090.1290322580644,62
10,6,weekday,1.768771894191814,-788.5032258064509,155
10,6,weekend,2.8510364742090943,-1697.6612903225807,62
10,7,weekday,1.3780304093160776,-439.14193548387027,155
10,7,weekend,2.504177661669723,-1378.9838709677417,62
10,8,weekday,1.4306484852517045,-759.4774193548384,155
10,8,weekend,2.381674147268947,-1332.1129032258063,62
10,9,weekday,1.3778429409154358,-755.3225806451612,155
10,9,weekend,2.1621020367915547,-1177.9032258064517,62
10,10,weekday,1.3456624954856273,-703.8967741935483,155
10,10,weekend,2.0055275692599843,-1078.5322580645163,62
10,11,weekday,1.336638238924792,-731.2064516129034,155
10,11,weekend,1.9059121694725247,-1041.903225806452,62
10,12,weekday,1.3435764745035867,-746.148387096774,155
10,12,weekend,1.8508696843675991,-942.2580645161291,62
10,13,weekday,1.321881630006943,-695.1741935483868,155
10,13,weekend,1.8376872781219904,-875.6612903225807,62
10,14,weekday,1.305761103227817,-586.6129032258063,155
10,14,weekend,1.8721945994216094,-955.8548387096773,62
10,15,weekday,1.315393161350466,-435.31612903225806,155
10,15,weekend,1.8981173428311804,-915.7903225806451,62
10,16,weekday,1.3596834243781333,-303.1741935483871,155
10,16,weekend,1.8091164040698116,-735.4354838709676,62
10,17,weekday,1.2994414850137685,-100.72258064516136,155
10,17,weekend,1.8079991730130034,-560.451612903226,62
10,18,weekday,1.280612255772063,21.490322580645373,155
10,18,weekend,1.6843408550138648,-286.80645161290306,62
10,19,weekday,1.4675016340707103,-614.8129032258065,155
10,19,weekend,1.854494802634652,-886.6290322580646,62
10,20,weekday,1.6373304448313957,-1015.6516129032267,155
10,20,weekend,1.9332594614469427,-1119.7096774193549,62
10,21,weekday,0.9380393292977156,-57.44516129032322,155
10,21,weekend,1.1774409457238604,-119.1290322580646,62
10,22,weekday,0.9492738295778765,340.2064516129034,155
